E	Esq	M	Msq	N_tot
0.0	0.0	0.0	0.0	0.0
-1.969615506024412	3.879385241571801	-0.5	0.25	1.0
-1.2855752193730734	1.6527036446661258	-0.5	0.25	1.0
-0.6840402866513349	0.46791111376204036	-0.5	0.25	1.0
2.886579864025407e-15	8.332343311396937e-30	-0.5	0.25	1.0
0.6840402866513393	0.46791111376204647	-0.5	0.25	1.0
1.285575219373079	1.65270364466614	-0.5	0.25	1.0
1.969615506024416	3.8793852415718164	-0.5	0.25	1.0
-3.255190725397489	10.59626665871383	-1.0	1.0	2.0
-2.6536557926757527	7.041889066001577	-1.0	1.0	2.0
-1.9696155060244165	3.879385241571818	-1.0	1.0	2.0
-1.9696155060244074	3.879385241571782	-1.0	1.0	2.0
-1.2855752193730796	1.6527036446661418	-1.0	1.0	2.0
-1.2855752193730785	1.652703644666139	-1.0	1.0	2.0
-0.6840402866513352	0.46791111376204086	-1.0	1.0	2.0
-0.6840402866513349	0.46791111376204036	-1.0	1.0	2.0
-0.6015349327217376	0.36184427528454544	-1.0	1.0	2.0
-1.2018381082001817e-16	1.4444148383221916e-32	-1.0	1.0	2.0
1.480235953512369e-16	2.191098478070672e-32	-1.0	1.0	2.0
7.69732387830707e-16	5.924879488755619e-31	-1.0	1.0	2.0
0.6015349327217425	0.3618442752845513	-1.0	1.0	2.0
0.6840402866513393	0.46791111376204647	-1.0	1.0	2.0
0.6840402866513399	0.4679111137620472	-1.0	1.0	2.0
1.285575219373078	1.6527036446661378	-1.0	1.0	2.0
1.285575219373079	1.65270364466614	-1.0	1.0	2.0
1.9696155060244154	3.8793852415718137	-1.0	1.0	2.0
1.9696155060244165	3.879385241571818	-1.0	1.0	2.0
2.653655792675754	7.041889066001584	-1.0	1.0	2.0
3.2551907253974948	10.596266658713867	-1.0	1.0	2.0
-3.939231012048833	15.517540966287273	-1.5	2.25	3.0
-3.255190725397495	10.596266658713871	-1.5	2.25	3.0
-2.6536557926757536	7.041889066001582	-1.5	2.25	3.0
-2.5711504387461592	6.610814578664567	-1.5	2.25	3.0
-1.969615506024416	3.8793852415718164	-1.5	2.25	3.0
-1.9696155060244158	3.8793852415718155	-1.5	2.25	3.0
-1.9696155060244114	3.879385241571798	-1.5	2.25	3.0
-1.368080573302675	1.8716444550481761	-1.5	2.25	3.0
-1.2855752193730812	1.6527036446661458	-1.5	2.25	3.0
-1.28557521937308	1.652703644666143	-1.5	2.25	3.0
-1.2855752193730765	1.6527036446661338	-1.5	2.25	3.0
-0.6840402866513386	0.4679111137620455	-1.5	2.25	3.0
-0.6840402866513359	0.46791111376204175	-1.5	2.25	3.0
-0.6840402866513352	0.46791111376204086	-1.5	2.25	3.0
-0.6015349327217412	0.3618442752845497	-1.5	2.25	3.0
-2.6885029570343796e-15	7.228048149982603e-30	-1.5	2.25	3.0
1.108146659063369e-16	1.2279890179933067e-32	-1.5	2.25	3.0
1.0841283985074326e-15	1.1753343844502905e-30	-1.5	2.25	3.0
3.450897201482828e-15	1.1908691495202014e-29	-1.5	2.25	3.0
4.540061859045195e-15	2.061216168395691e-29	-1.5	2.25	3.0
0.6015349327217407	0.36184427528454916	-1.5	2.25	3.0
0.684040286651337	0.46791111376204325	-1.5	2.25	3.0
0.6840402866513385	0.4679111137620454	-1.5	2.25	3.0
0.6840402866513425	0.46791111376205086	-1.5	2.25	3.0
1.285575219373078	1.6527036446661378	-1.5	2.25	3.0
1.285575219373079	1.65270364466614	-1.5	2.25	3.0
1.2855752193730816	1.652703644666147	-1.5	2.25	3.0
1.3680805733026729	1.8716444550481701	-1.5	2.25	3.0
1.9696155060244145	3.87938524157181	-1.5	2.25	3.0
1.969615506024415	3.879385241571812	-1.5	2.25	3.0
1.9696155060244167	3.879385241571819	-1.5	2.25	3.0
2.5711504387461552	6.610814578664547	-1.5	2.25	3.0
2.6536557926757527	7.041889066001577	-1.5	2.25	3.0
3.255190725397494	10.596266658713862	-1.5	2.25	3.0
3.9392310120488325	15.51754096628727	-1.5	2.25	3.0
-3.9392310120488285	15.517540966287237	-2.0	4.0	4.0
-3.2551907253974997	10.5962666587139	-2.0	4.0	4.0
-2.653655792675751	7.041889066001568	-2.0	4.0	4.0
-2.571150438746153	6.610814578664535	-2.0	4.0	4.0
-1.9696155060244185	3.879385241571826	-2.0	4.0	4.0
-1.9696155060244096	3.879385241571791	-2.0	4.0	4.0
-1.9696155060244067	3.8793852415717796	-2.0	4.0	4.0
-1.3680805733026777	1.8716444550481834	-2.0	4.0	4.0
-1.2855752193730794	1.6527036446661412	-2.0	4.0	4.0
-1.2855752193730785	1.652703644666139	-2.0	4.0	4.0
-1.2855752193730756	1.6527036446661314	-2.0	4.0	4.0
-0.6840402866513421	0.46791111376205025	-2.0	4.0	4.0
-0.6840402866513353	0.467911113762041	-2.0	4.0	4.0
-0.6840402866513348	0.46791111376204025	-2.0	4.0	4.0
-0.6015349327217456	0.36184427528455504	-2.0	4.0	4.0
-4.238695040236467e-15	1.7966535644125224e-29	-2.0	4.0	4.0
-2.4290874152172813e-17	5.900465670766973e-34	-2.0	4.0	4.0
2.185799034615752e-16	4.777717419727154e-32	-2.0	4.0	4.0
2.467371757304397e-16	6.087923388743388e-32	-2.0	4.0	4.0
6.649925760220175e-15	4.422151261643988e-29	-2.0	4.0	4.0
0.6015349327217394	0.36184427528454755	-2.0	4.0	4.0
0.684040286651336	0.4679111137620419	-2.0	4.0	4.0
0.6840402866513398	0.4679111137620471	-2.0	4.0	4.0
0.6840402866513409	0.4679111137620486	-2.0	4.0	4.0
1.2855752193730758	1.652703644666132	-2.0	4.0	4.0
1.2855752193730763	1.6527036446661332	-2.0	4.0	4.0
1.2855752193730778	1.6527036446661372	-2.0	4.0	4.0
1.3680805733026724	1.8716444550481688	-2.0	4.0	4.0
1.9696155060244147	3.879385241571811	-2.0	4.0	4.0
1.9696155060244174	3.8793852415718217	-2.0	4.0	4.0
1.9696155060244185	3.879385241571826	-2.0	4.0	4.0
2.571150438746156	6.610814578664551	-2.0	4.0	4.0
2.6536557926757514	7.04188906600157	-2.0	4.0	4.0
3.2551907253974925	10.596266658713853	-2.0	4.0	4.0
3.939231012048832	15.517540966287266	-2.0	4.0	4.0
-3.255190725397496	10.596266658713876	-2.5	6.25	5.0
-2.653655792675749	7.041889066001558	-2.5	6.25	5.0
-1.9696155060244136	3.8793852415718066	-2.5	6.25	5.0
-1.9696155060244103	3.8793852415717938	-2.5	6.25	5.0
-1.2855752193730798	1.6527036446661423	-2.5	6.25	5.0
-1.2855752193730767	1.6527036446661343	-2.5	6.25	5.0
-0.6840402866513378	0.4679111137620443	-2.5	6.25	5.0
-0.684040286651331	0.4679111137620351	-2.5	6.25	5.0
-0.6015349327217416	0.3618442752845502	-2.5	6.25	5.0
-3.4160901960182323e-15	1.1669672227331885e-29	-2.5	6.25	5.0
8.606893493398791e-16	7.407861560671045e-31	-2.5	6.25	5.0
1.318257759409786e-15	1.737803520244109e-30	-2.5	6.25	5.0
0.6015349327217421	0.36184427528455076	-2.5	6.25	5.0
0.6840402866513378	0.4679111137620443	-2.5	6.25	5.0
0.6840402866513385	0.4679111137620454	-2.5	6.25	5.0
1.2855752193730785	1.652703644666139	-2.5	6.25	5.0
1.2855752193730803	1.6527036446661434	-2.5	6.25	5.0
1.9696155060244158	3.8793852415718155	-2.5	6.25	5.0
1.9696155060244163	3.8793852415718173	-2.5	6.25	5.0
2.653655792675754	7.041889066001584	-2.5	6.25	5.0
3.2551907253974948	10.596266658713867	-2.5	6.25	5.0
-1.9696155060244152	3.879385241571813	-3.0	9.0	6.0
-1.285575219373072	1.6527036446661223	-3.0	9.0	6.0
-0.684040286651334	0.46791111376203914	-3.0	9.0	6.0
1.5543122344752192e-15	2.4158865222393487e-30	-3.0	9.0	6.0
0.6840402866513393	0.46791111376204647	-3.0	9.0	6.0
